order_id,date,customer_id,category,region,product,quantity,unit_price,revenue,status
ORD-10021,2025-01-13,CUST-5051,Electronics,North America,Laptop Stand,3,227.04,681.12,completed
ORD-10022,2025-01-13,CUST-5056,Home & Garden,Latin America,Storage Bin,2,85.47,170.94,cancelled
ORD-10023,2025-01-14,CUST-5069,Home & Garden,Europe,Plant Pot,4,41.61,166.44,cancelled
ORD-10024,2025-01-14,CUST-5173,Electronics,North America,Laptop Stand,3,264.09,792.27,completed
ORD-10025,2025-01-15,CUST-5160,Home & Garden,Asia Pacific,Kitchen Knife Set,1,58.13,58.13,completed
ORD-10026,2025-01-15,CUST-5150,Apparel,Europe,Winter Coat,3,40.08,120.24,cancelled
ORD-10027,2025-01-16,CUST-5043,Electronics,Asia Pacific,Laptop Stand,4,217.74,870.96,completed
ORD-10028,2025-01-16,CUST-5010,Electronics,Asia Pacific,USB-C Hub,2,210.22,420.44,completed
ORD-10029,2025-01-17,CUST-5036,Electronics,Latin America,USB-C Hub,4,155.16,620.64,completed
ORD-10030,2025-01-18,CUST-5121,Electronics,Asia Pacific,USB-C Hub,4,254.27,1017.08,completed
ORD-10031,2025-01-18,CUST-5172,Sports,North America,Tennis Racket,3,67.18,201.54,completed
ORD-10032,2025-01-19,CUST-5153,Electronics,Asia Pacific,Smart Watch,2,269.81,539.62,completed
ORD-10033,2025-01-19,CUST-5062,Electronics,North America,USB-C Hub,3,216.32,648.96,cancelled
ORD-10034,2025-01-20,CUST-5007,Sports,Europe,Dumbbell Set,2,57.60,115.20,completed
ORD-10035,2025-01-21,CUST-5103,Beauty,Europe,Hair Oil,1,38.15,38.15,completed
ORD-10036,2025-01-21,CUST-5008,Sports,Asia Pacific,Yoga Mat,2,76.81,153.62,completed
ORD-10037,2025-01-22,CUST-5011,Apparel,Asia Pacific,Running Shoes,3,110.10,330.30,cancelled
ORD-10038,2025-01-22,CUST-5146,Apparel,Europe,Winter Coat,4,113.58,454.32,cancelled
ORD-10039,2025-01-23,CUST-5045,Beauty,Europe,Hair Oil,3,62.77,188.31,completed
ORD-10040,2025-01-24,CUST-5002,Sports,North America,Dumbbell Set,3,55.95,167.85,completed
ORD-10041,2025-01-25,CUST-5031,Electronics,Latin America,USB-C Hub,2,265.23,530.46,cancelled
ORD-10042,2025-01-25,CUST-5122,Electronics,Asia Pacific,USB-C Hub,3,263.66,790.98,completed
ORD-10043,2025-01-26,CUST-5010,Home & Garden,Latin America,Kitchen Knife Set,1,83.67,83.67,completed
ORD-10044,2025-01-26,CUST-5153,Home & Garden,North America,Storage Bin,2,65.69,131.38,completed
ORD-10045,2025-01-27,CUST-5107,Home & Garden,Europe,Desk Lamp,1,39.74,39.74,completed
ORD-10046,2025-01-27,CUST-5176,Home & Garden,Latin America,Kitchen Knife Set,2,84.22,168.44,completed
ORD-10047,2025-01-28,CUST-5039,Electronics,Europe,Bluetooth Speaker,2,291.90,583.80,completed
ORD-10048,2025-01-28,CUST-5159,Beauty,North America,Lip Balm,2,48.25,96.50,completed
ORD-10049,2025-01-29,CUST-5058,Apparel,Europe,Cotton Tee,3,61.79,185.37,completed
ORD-10050,2025-01-29,CUST-5061,Electronics,North America,Wireless Headphones,2,233.94,467.88,completed
ORD-10051,2025-01-30,CUST-5110,Apparel,North America,Running Shoes,2,102.26,204.52,completed
ORD-10052,2025-01-30,CUST-5094,Beauty,North America,Face Serum,4,17.22,68.88,completed
ORD-10053,2025-01-31,CUST-5079,Home & Garden,Europe,Storage Bin,4,84.41,337.64,completed
ORD-10054,2025-01-31,CUST-5073,Apparel,Europe,Yoga Pants,4,78.08,312.32,completed
ORD-10055,2025-02-01,CUST-5130,Apparel,North America,Running Shoes,1,93.91,93.91,cancelled
ORD-10056,2025-02-01,CUST-5135,Apparel,North America,Cotton Tee,2,101.00,202.00,completed
ORD-10057,2025-02-01,CUST-5009,Electronics,Asia Pacific,Wireless Headphones,4,128.30,513.20,completed
ORD-10058,2025-02-02,CUST-5159,Apparel,Latin America,Winter Coat,1,42.10,42.10,cancelled
ORD-10059,2025-02-02,CUST-5171,Sports,Asia Pacific,Dumbbell Set,1,37.65,37.65,completed
ORD-10060,2025-02-03,CUST-5162,Electronics,Asia Pacific,Smart Watch,1,266.43,266.43,completed
ORD-10061,2025-02-03,CUST-5064,Home & Garden,North America,Storage Bin,1,86.67,86.67,completed
ORD-10062,2025-02-04,CUST-5040,Home & Garden,Europe,Kitchen Knife Set,3,67.92,203.76,cancelled
ORD-10063,2025-02-04,CUST-5130,Electronics,North America,Laptop Stand,3,213.94,641.82,completed
ORD-10064,2025-02-05,CUST-5176,Home & Garden,Asia Pacific,Storage Bin,2,52.13,104.26,completed
ORD-10065,2025-02-06,CUST-5172,Beauty,North America,Lip Balm,4,51.81,207.24,completed
ORD-10066,2025-02-06,CUST-5046,Beauty,Europe,Moisturizer,2,51.01,102.02,completed
ORD-10067,2025-02-06,CUST-5133,Sports,Asia Pacific,Resistance Bands,2,45.08,90.16,cancelled
ORD-10068,2025-02-07,CUST-5142,Apparel,Latin America,Denim Jacket,2,51.28,102.56,completed
ORD-10069,2025-02-07,CUST-5023,Beauty,Latin America,Lip Balm,3,45.33,135.99,completed
ORD-10070,2025-02-08,CUST-5046,Electronics,North America,Bluetooth Speaker,2,237.70,475.40,completed
ORD-10071,2025-02-08,CUST-5112,Sports,Latin America,Resistance Bands,2,104.26,208.52,completed
ORD-10072,2025-02-09,CUST-5101,Apparel,Asia Pacific,Running Shoes,4,100.16,400.64,completed
ORD-10073,2025-02-09,CUST-5157,Apparel,Europe,Running Shoes,2,111.45,222.90,completed
ORD-10074,2025-02-10,CUST-5031,Beauty,North America,Moisturizer,1,33.26,33.26,completed
ORD-10075,2025-02-10,CUST-5024,Apparel,North America,Cotton Tee,2,84.40,168.80,completed
ORD-10076,2025-02-11,CUST-5111,Beauty,Europe,Sunscreen,2,38.19,76.38,completed
ORD-10077,2025-02-11,CUST-5145,Home & Garden,Latin America,Desk Lamp,1,56.64,56.64,completed
ORD-10078,2025-02-12,CUST-5035,Electronics,Asia Pacific,Smart Watch,4,188.60,754.40,completed
ORD-10079,2025-02-12,CUST-5092,Apparel,North America,Yoga Pants,4,113.00,452.00,completed
ORD-10080,2025-02-13,CUST-5066,Sports,Asia Pacific,Water Bottle,4,52.46,209.84,completed
ORD-10081,2025-02-13,CUST-5061,Sports,Europe,Dumbbell Set,4,33.97,135.88,cancelled
ORD-10082,2025-02-14,CUST-5044,Sports,North America,Yoga Mat,3,98.77,296.31,completed
ORD-10083,2025-02-14,CUST-5035,Apparel,Latin America,Running Shoes,3,55.33,165.99,completed
ORD-10084,2025-02-15,CUST-5006,Apparel,North America,Running Shoes,3,36.72,110.16,completed
ORD-10085,2025-02-15,CUST-5086,Electronics,Latin America,Laptop Stand,2,153.25,306.50,completed
ORD-10086,2025-02-16,CUST-5086,Electronics,Europe,Smart Watch,1,112.05,112.05,completed
ORD-10087,2025-02-16,CUST-5165,Apparel,Europe,Running Shoes,2,36.99,73.98,completed
ORD-10088,2025-02-16,CUST-5118,Home & Garden,Europe,Throw Pillow,4,77.73,310.92,completed
ORD-10089,2025-02-17,CUST-5140,Apparel,North America,Cotton Tee,1,55.35,55.35,completed
ORD-10090,2025-02-17,CUST-5073,Apparel,Europe,Cotton Tee,1,36.38,36.38,completed
ORD-10091,2025-02-18,CUST-5033,Apparel,Europe,Denim Jacket,1,108.57,108.57,completed
ORD-10092,2025-02-18,CUST-5157,Electronics,Asia Pacific,USB-C Hub,3,143.82,431.46,cancelled
ORD-10093,2025-02-19,CUST-5168,Home & Garden,North America,Desk Lamp,1,78.49,78.49,completed
ORD-10094,2025-02-19,CUST-5139,Home & Garden,Europe,Kitchen Knife Set,3,32.63,97.89,completed
ORD-10095,2025-02-20,CUST-5051,Beauty,Asia Pacific,Moisturizer,1,14.43,14.43,completed
ORD-10096,2025-02-20,CUST-5028,Apparel,Asia Pacific,Yoga Pants,2,58.83,117.66,completed
ORD-10097,2025-02-21,CUST-5072,Electronics,Asia Pacific,Laptop Stand,1,169.15,169.15,cancelled
ORD-10098,2025-02-22,CUST-5168,Beauty,Latin America,Lip Balm,2,21.88,43.76,cancelled
ORD-10099,2025-02-23,CUST-5071,Electronics,North America,Wireless Headphones,3,283.94,851.82,completed
ORD-10100,2025-02-23,CUST-5137,Apparel,Latin America,Winter Coat,2,38.61,77.22,completed
ORD-10101,2025-02-24,CUST-5034,Apparel,Asia Pacific,Yoga Pants,1,63.75,63.75,completed
ORD-10102,2025-02-24,CUST-5096,Electronics,Latin America,USB-C Hub,4,139.80,559.20,completed
ORD-10103,2025-02-25,CUST-5084,Beauty,North America,Lip Balm,2,66.39,132.78,completed
ORD-10104,2025-02-26,CUST-5021,Beauty,Europe,Sunscreen,4,14.72,58.88,completed
ORD-10105,2025-02-27,CUST-5157,Sports,North America,Dumbbell Set,3,108.40,325.20,completed
ORD-10106,2025-02-27,CUST-5017,Electronics,Asia Pacific,Bluetooth Speaker,4,120.69,482.76,cancelled
ORD-10107,2025-02-27,CUST-5125,Electronics,North America,Laptop Stand,4,137.06,548.24,completed
ORD-10108,2025-02-28,CUST-5030,Apparel,Asia Pacific,Winter Coat,1,32.95,32.95,completed
ORD-10109,2025-03-01,CUST-5057,Beauty,North America,Lip Balm,2,51.15,102.30,completed
ORD-10110,2025-03-02,CUST-5000,Electronics,Europe,USB-C Hub,3,287.57,862.71,cancelled
ORD-10111,2025-03-03,CUST-5158,Apparel,Latin America,Running Shoes,3,55.35,166.05,completed
ORD-10112,2025-03-03,CUST-5090,Apparel,Latin America,Yoga Pants,1,112.94,112.94,cancelled
ORD-10113,2025-03-04,CUST-5018,Electronics,Latin America,Smart Watch,3,193.28,579.84,cancelled
ORD-10114,2025-03-05,CUST-5045,Apparel,Asia Pacific,Winter Coat,1,108.46,108.46,completed
ORD-10115,2025-03-06,CUST-5145,Beauty,Asia Pacific,Sunscreen,2,14.69,29.38,cancelled
ORD-10116,2025-03-07,CUST-5075,Home & Garden,Europe,Desk Lamp,4,86.04,344.16,completed
ORD-10117,2025-03-08,CUST-5005,Beauty,Europe,Sunscreen,1,25.39,25.39,cancelled
ORD-10118,2025-03-09,CUST-5030,Beauty,Europe,Sunscreen,1,22.45,22.45,cancelled
ORD-10119,2025-03-10,CUST-5108,Apparel,Europe,Winter Coat,1,97.68,97.68,completed
ORD-10120,2025-03-10,CUST-5162,Electronics,North America,USB-C Hub,4,212.44,849.76,completed
ORD-10121,2025-03-11,CUST-5128,Beauty,Europe,Moisturizer,3,56.64,169.92,cancelled
ORD-10122,2025-03-12,CUST-5103,Sports,North America,Dumbbell Set,2,102.76,205.52,completed
ORD-10123,2025-03-13,CUST-5120,Sports,Europe,Resistance Bands,2,54.21,108.42,completed
ORD-10124,2025-03-13,CUST-5003,Home & Garden,North America,Storage Bin,4,22.89,91.56,completed
ORD-10125,2025-03-14,CUST-5155,Electronics,North America,Bluetooth Speaker,2,90.59,181.18,cancelled
ORD-10126,2025-03-14,CUST-5148,Sports,Asia Pacific,Resistance Bands,3,56.14,168.42,completed
ORD-10127,2025-03-15,CUST-5119,Home & Garden,Europe,Desk Lamp,1,32.30,32.30,cancelled
ORD-10128,2025-03-15,CUST-5091,Home & Garden,Asia Pacific,Storage Bin,4,54.20,216.80,completed
ORD-10129,2025-03-16,CUST-5120,Home & Garden,North America,Desk Lamp,2,42.96,85.92,completed
ORD-10130,2025-03-17,CUST-5053,Apparel,Europe,Denim Jacket,2,37.15,74.30,cancelled
ORD-10131,2025-03-18,CUST-5032,Apparel,North America,Yoga Pants,2,41.32,82.64,cancelled
ORD-10132,2025-03-19,CUST-5060,Sports,Europe,Yoga Mat,3,105.44,316.32,completed
ORD-10133,2025-03-20,CUST-5077,Electronics,Europe,Smart Watch,2,124.71,249.42,cancelled
ORD-10134,2025-03-21,CUST-5139,Home & Garden,Europe,Desk Lamp,3,85.12,255.36,cancelled
ORD-10135,2025-03-22,CUST-5112,Beauty,Europe,Sunscreen,1,53.15,53.15,cancelled
ORD-10136,2025-03-23,CUST-5144,Sports,Europe,Tennis Racket,2,90.75,181.50,completed
ORD-10137,2025-03-24,CUST-5025,Home & Garden,North America,Storage Bin,4,71.32,285.28,completed
ORD-10138,2025-03-25,CUST-5047,Beauty,North America,Face Serum,2,46.71,93.42,completed
ORD-10139,2025-03-25,CUST-5137,Beauty,Asia Pacific,Moisturizer,4,28.44,113.76,completed
ORD-10140,2025-03-26,CUST-5000,Beauty,Europe,Lip Balm,3,16.29,48.87,completed
ORD-10141,2025-03-27,CUST-5007,Apparel,Asia Pacific,Denim Jacket,4,113.46,453.84,completed
ORD-10142,2025-03-28,CUST-5175,Home & Garden,Europe,Storage Bin,3,48.00,144.00,completed
ORD-10143,2025-03-28,CUST-5033,Home & Garden,Asia Pacific,Desk Lamp,2,68.49,136.98,completed
ORD-10144,2025-03-29,CUST-5154,Beauty,Europe,Sunscreen,4,41.72,166.88,cancelled
ORD-10145,2025-03-30,CUST-5154,Home & Garden,North America,Desk Lamp,1,35.98,35.98,completed
ORD-10146,2025-03-30,CUST-5024,Beauty,North America,Lip Balm,4,14.39,57.56,completed
ORD-10147,2025-03-31,CUST-5169,Apparel,Europe,Yoga Pants,2,28.77,57.54,completed
ORD-10148,2025-03-31,CUST-5056,Apparel,Europe,Running Shoes,2,59.39,118.78,cancelled
ORD-10149,2025-04-01,CUST-5110,Sports,Latin America,Resistance Bands,3,33.95,101.85,completed
ORD-10150,2025-04-01,CUST-5164,Beauty,North America,Hair Oil,4,41.82,167.28,completed
ORD-10151,2025-04-02,CUST-5110,Beauty,Latin America,Face Serum,2,57.41,114.82,completed
ORD-10152,2025-04-03,CUST-5124,Beauty,Europe,Sunscreen,3,17.40,52.20,completed
ORD-10153,2025-04-04,CUST-5063,Sports,North America,Dumbbell Set,4,84.72,338.88,completed
ORD-10154,2025-04-04,CUST-5019,Electronics,Asia Pacific,Bluetooth Speaker,4,277.37,1109.48,completed
ORD-10155,2025-04-05,CUST-5117,Apparel,Asia Pacific,Running Shoes,1,78.62,78.62,completed
ORD-10156,2025-04-05,CUST-5015,Apparel,North America,Running Shoes,4,36.53,146.12,completed
ORD-10157,2025-04-06,CUST-5134,Electronics,Asia Pacific,Wireless Headphones,4,275.49,1101.96,cancelled
ORD-10158,2025-04-06,CUST-5111,Apparel,Asia Pacific,Cotton Tee,4,87.49,349.96,cancelled
ORD-10159,2025-04-07,CUST-5155,Electronics,Latin America,Wireless Headphones,3,112.76,338.28,completed
ORD-10160,2025-04-07,CUST-5115,Beauty,North America,Moisturizer,4,54.28,217.12,cancelled
ORD-10161,2025-04-08,CUST-5155,Electronics,Europe,Wireless Headphones,2,97.18,194.36,completed
ORD-10162,2025-04-08,CUST-5095,Electronics,North America,Bluetooth Speaker,3,173.16,519.48,completed
ORD-10163,2025-04-09,CUST-5147,Electronics,North America,Laptop Stand,4,118.43,473.72,completed
ORD-10164,2025-04-10,CUST-5129,Electronics,Europe,USB-C Hub,4,209.59,838.36,completed
ORD-10165,2025-04-11,CUST-5039,Beauty,Asia Pacific,Moisturizer,1,59.42,59.42,cancelled
ORD-10166,2025-04-12,CUST-5177,Apparel,Europe,Cotton Tee,4,97.62,390.48,completed
ORD-10167,2025-04-12,CUST-5072,Electronics,Asia Pacific,Laptop Stand,3,104.55,313.65,completed
ORD-10168,2025-04-13,CUST-5078,Sports,Europe,Yoga Mat,3,26.84,80.52,completed
ORD-10169,2025-04-13,CUST-5055,Electronics,Europe,Wireless Headphones,4,236.15,944.60,completed
ORD-10170,2025-04-14,CUST-5050,Electronics,Europe,USB-C Hub,1,260.06,260.06,completed
ORD-10171,2025-04-15,CUST-5056,Electronics,Europe,Bluetooth Speaker,3,298.60,895.80,completed
ORD-10172,2025-04-15,CUST-5132,Home & Garden,North America,Storage Bin,2,68.67,137.34,completed
ORD-10173,2025-04-16,CUST-5053,Electronics,North America,USB-C Hub,4,161.51,646.04,completed
ORD-10174,2025-04-17,CUST-5073,Beauty,Asia Pacific,Moisturizer,1,66.81,66.81,completed
ORD-10175,2025-04-17,CUST-5149,Apparel,Europe,Winter Coat,2,80.08,160.16,completed
ORD-10176,2025-04-18,CUST-5157,Sports,Europe,Yoga Mat,1,109.72,109.72,completed
ORD-10177,2025-04-18,CUST-5015,Apparel,North America,Yoga Pants,1,72.24,72.24,cancelled
ORD-10178,2025-04-19,CUST-5068,Electronics,North America,Laptop Stand,3,278.71,836.13,completed
ORD-10179,2025-04-19,CUST-5177,Beauty,North America,Lip Balm,3,34.67,104.01,completed
ORD-10180,2025-04-20,CUST-5057,Home & Garden,Asia Pacific,Storage Bin,4,65.48,261.92,completed
ORD-10181,2025-04-21,CUST-5093,Apparel,Europe,Denim Jacket,3,104.03,312.09,completed
ORD-10182,2025-04-21,CUST-5037,Home & Garden,North America,Desk Lamp,3,77.29,231.87,cancelled
ORD-10183,2025-04-22,CUST-5062,Electronics,Asia Pacific,Laptop Stand,2,123.05,246.10,completed
ORD-10184,2025-04-22,CUST-5103,Sports,Europe,Yoga Mat,3,49.72,149.16,completed
ORD-10185,2025-04-23,CUST-5144,Sports,North America,Water Bottle,1,23.93,23.93,completed
ORD-10186,2025-04-24,CUST-5174,Beauty,Europe,Sunscreen,4,57.27,229.08,cancelled
ORD-10187,2025-04-25,CUST-5020,Home & Garden,Asia Pacific,Plant Pot,4,30.73,122.92,completed
ORD-10188,2025-04-26,CUST-5121,Electronics,North America,Smart Watch,1,152.11,152.11,completed
ORD-10189,2025-04-26,CUST-5081,Apparel,Europe,Denim Jacket,3,34.39,103.17,cancelled
ORD-10190,2025-04-27,CUST-5133,Beauty,North America,Sunscreen,3,64.15,192.45,completed
ORD-10191,2025-04-27,CUST-5154,Home & Garden,North America,Throw Pillow,1,86.17,86.17,completed
ORD-10192,2025-04-28,CUST-5089,Electronics,North America,Smart Watch,1,295.35,295.35,completed
ORD-10193,2025-04-28,CUST-5061,Sports,North America,Tennis Racket,2,90.34,180.68,completed
ORD-10194,2025-04-29,CUST-5012,Electronics,North America,Laptop Stand,2,209.30,418.60,completed
ORD-10195,2025-04-29,CUST-5108,Sports,Asia Pacific,Dumbbell Set,2,60.90,121.80,cancelled
ORD-10196,2025-04-30,CUST-5066,Electronics,Europe,Smart Watch,2,290.54,581.08,completed
ORD-10197,2025-04-30,CUST-5120,Home & Garden,Asia Pacific,Kitchen Knife Set,2,76.84,153.68,completed
ORD-10198,2025-05-01,CUST-5146,Sports,Europe,Tennis Racket,4,61.16,244.64,completed
ORD-10199,2025-05-01,CUST-5171,Home & Garden,Asia Pacific,Throw Pillow,2,50.18,100.36,completed
ORD-10200,2025-05-02,CUST-5105,Sports,Asia Pacific,Dumbbell Set,4,101.31,405.24,completed
ORD-10201,2025-05-02,CUST-5113,Electronics,Europe,Bluetooth Speaker,4,92.20,368.80,completed
ORD-10202,2025-05-03,CUST-5137,Apparel,North America,Yoga Pants,1,66.85,66.85,completed
ORD-10203,2025-05-03,CUST-5132,Electronics,North America,Wireless Headphones,3,123.04,369.12,completed
ORD-10204,2025-05-04,CUST-5104,Electronics,Latin America,Bluetooth Speaker,3,286.05,858.15,completed
ORD-10205,2025-05-04,CUST-5022,Apparel,Asia Pacific,Running Shoes,2,107.06,214.12,cancelled
ORD-10206,2025-05-04,CUST-5019,Beauty,North America,Sunscreen,2,33.66,67.32,completed
ORD-10207,2025-05-05,CUST-5024,Home & Garden,North America,Throw Pillow,3,49.76,149.28,cancelled
ORD-10208,2025-05-05,CUST-5137,Apparel,Europe,Cotton Tee,2,56.53,113.06,completed
ORD-10209,2025-05-06,CUST-5177,Home & Garden,North America,Throw Pillow,4,78.99,315.96,completed
ORD-10210,2025-05-06,CUST-5054,Apparel,North America,Cotton Tee,3,60.88,182.64,completed
ORD-10211,2025-05-07,CUST-5142,Electronics,North America,Bluetooth Speaker,4,238.81,955.24,completed
ORD-10212,2025-05-07,CUST-5171,Sports,North America,Resistance Bands,2,64.68,129.36,completed
ORD-10213,2025-05-08,CUST-5179,Electronics,Latin America,Bluetooth Speaker,2,293.39,586.78,completed
ORD-10214,2025-05-08,CUST-5164,Home & Garden,Europe,Storage Bin,3,64.89,194.67,completed
ORD-10215,2025-05-09,CUST-5008,Apparel,North America,Winter Coat,1,69.73,69.73,completed
ORD-10216,2025-05-09,CUST-5021,Electronics,Asia Pacific,Bluetooth Speaker,3,171.27,513.81,completed
ORD-10217,2025-05-10,CUST-5013,Apparel,North America,Cotton Tee,1,106.56,106.56,completed
ORD-10218,2025-05-10,CUST-5109,Electronics,Asia Pacific,Smart Watch,2,194.03,388.06,completed
ORD-10219,2025-05-11,CUST-5129,Home & Garden,North America,Plant Pot,4,24.97,99.88,completed
ORD-10220,2025-05-11,CUST-5031,Electronics,Asia Pacific,Wireless Headphones,1,285.20,285.20,completed
ORD-10221,2025-05-12,CUST-5123,Home & Garden,Asia Pacific,Throw Pillow,1,21.83,21.83,completed
ORD-10222,2025-05-12,CUST-5112,Home & Garden,Asia Pacific,Kitchen Knife Set,3,79.47,238.41,completed
ORD-10223,2025-05-13,CUST-5018,Home & Garden,Europe,Kitchen Knife Set,2,71.75,143.50,completed
ORD-10224,2025-05-13,CUST-5082,Sports,North America,Resistance Bands,4,107.20,428.80,completed
ORD-10225,2025-05-14,CUST-5084,Beauty,Europe,Hair Oil,2,28.67,57.34,cancelled
ORD-10226,2025-05-14,CUST-5119,Apparel,North America,Winter Coat,3,84.72,254.16,completed
ORD-10227,2025-05-15,CUST-5032,Apparel,North America,Winter Coat,3,73.80,221.40,completed
ORD-10228,2025-05-15,CUST-5032,Beauty,Europe,Lip Balm,2,31.05,62.10,completed
ORD-10229,2025-05-16,CUST-5010,Apparel,North America,Cotton Tee,1,77.57,77.57,completed
ORD-10230,2025-05-16,CUST-5138,Home & Garden,Asia Pacific,Desk Lamp,2,54.06,108.12,completed
ORD-10231,2025-05-17,CUST-5072,Electronics,Europe,Laptop Stand,4,172.04,688.16,completed
ORD-10232,2025-05-17,CUST-5161,Sports,Europe,Yoga Mat,4,99.45,397.80,cancelled
ORD-10233,2025-05-17,CUST-5061,Electronics,North America,Wireless Headphones,4,151.82,607.28,completed
ORD-10234,2025-05-18,CUST-5086,Apparel,Europe,Denim Jacket,4,33.34,133.36,cancelled
ORD-10235,2025-05-18,CUST-5068,Electronics,Europe,Wireless Headphones,1,125.43,125.43,completed
ORD-10236,2025-05-19,CUST-5092,Home & Garden,North America,Plant Pot,4,22.80,91.20,completed
ORD-10237,2025-05-19,CUST-5030,Beauty,Asia Pacific,Sunscreen,3,25.26,75.78,completed
ORD-10238,2025-05-20,CUST-5094,Electronics,North America,Laptop Stand,4,226.06,904.24,completed
ORD-10239,2025-05-20,CUST-5021,Beauty,North America,Moisturizer,3,28.52,85.56,completed
ORD-10240,2025-05-21,CUST-5025,Electronics,Latin America,Smart Watch,4,125.32,501.28,completed
ORD-10241,2025-05-21,CUST-5059,Beauty,North America,Lip Balm,3,53.48,160.44,completed
ORD-10242,2025-05-22,CUST-5056,Electronics,North America,Laptop Stand,1,226.16,226.16,completed
ORD-10243,2025-05-22,CUST-5010,Home & Garden,Europe,Plant Pot,4,58.51,234.04,completed
ORD-10244,2025-05-23,CUST-5124,Home & Garden,Asia Pacific,Desk Lamp,1,53.42,53.42,completed
ORD-10245,2025-05-23,CUST-5047,Electronics,Asia Pacific,Bluetooth Speaker,3,146.76,440.28,completed
ORD-10246,2025-05-23,CUST-5164,Apparel,Europe,Yoga Pants,3,70.93,212.79,completed
ORD-10247,2025-05-24,CUST-5115,Apparel,North America,Winter Coat,2,43.58,87.16,completed
ORD-10248,2025-05-24,CUST-5104,Home & Garden,Europe,Storage Bin,3,87.01,261.03,completed
ORD-10249,2025-05-24,CUST-5053,Beauty,North America,Moisturizer,4,54.53,218.12,completed
ORD-10250,2025-05-25,CUST-5121,Sports,Asia Pacific,Yoga Mat,3,99.01,297.03,completed
ORD-10251,2025-05-25,CUST-5117,Sports,North America,Dumbbell Set,1,35.89,35.89,cancelled
ORD-10252,2025-05-26,CUST-5056,Apparel,North America,Cotton Tee,3,26.64,79.92,completed
ORD-10253,2025-05-26,CUST-5146,Electronics,North America,Smart Watch,4,288.35,1153.40,completed
ORD-10254,2025-05-26,CUST-5051,Sports,Asia Pacific,Tennis Racket,3,29.48,88.44,completed
ORD-10255,2025-05-27,CUST-5163,Home & Garden,Latin America,Storage Bin,4,57.75,231.00,completed
ORD-10256,2025-05-28,CUST-5012,Electronics,North America,Bluetooth Speaker,2,293.74,587.48,completed
ORD-10257,2025-05-28,CUST-5068,Home & Garden,North America,Throw Pillow,3,78.94,236.82,completed
ORD-10258,2025-05-29,CUST-5146,Apparel,Europe,Winter Coat,1,70.47,70.47,completed
ORD-10259,2025-05-29,CUST-5163,Apparel,Europe,Cotton Tee,1,38.60,38.60,completed
ORD-10260,2025-05-30,CUST-5116,Electronics,Europe,USB-C Hub,2,261.01,522.02,completed
ORD-10261,2025-05-30,CUST-5134,Home & Garden,North America,Kitchen Knife Set,4,67.27,269.08,completed
ORD-10262,2025-05-31,CUST-5064,Apparel,Latin America,Denim Jacket,2,77.01,154.02,completed
ORD-10263,2025-05-31,CUST-5017,Beauty,North America,Sunscreen,1,61.07,61.07,completed
ORD-10264,2025-05-31,CUST-5033,Home & Garden,North America,Plant Pot,2,34.26,68.52,cancelled
ORD-10265,2025-06-01,CUST-5179,Beauty,North America,Sunscreen,2,19.15,38.30,cancelled
ORD-10266,2025-06-01,CUST-5063,Electronics,Latin America,Laptop Stand,4,180.33,721.32,completed
